# Data from: https://www.calendarpedia.co.uk
Date,Holiday,Day
"January 2nd, 2017",Substitute day (for New Year's Day),Monday
"April 14th, 2017",Good Friday,Friday
"April 17th, 2017",Easter Monday,Monday
"May 1st, 2017",Early May Bank Holiday,Monday
"May 29th, 2017",Spring Bank Holiday,Monday
"August 28th, 2017",August Bank Holiday,Monday
"December 25th, 2017",Christmas Day,Monday
"December 26th, 2017",Boxing Day,Tuesday
"January 1st, 2018",New Year's Day,Monday
"March 30th, 2018",Good Friday,Friday
"April 2nd, 2018",Easter Monday,Monday
"May 7th, 2018",Early May Bank Holiday,Monday
"May 28th, 2018",Spring Bank Holiday,Monday
"August 27th, 2018",August Bank Holiday,Monday
"December 25th, 2018",Christmas Day,Tuesday
"December 26th, 2018",Boxing Day,Wednesday
"January 1st, 2019",New Year's Day,Tuesday
"April 19th, 2019",Good Friday,Friday
"April 22nd, 2019",Easter Monday,Monday
"May 6th, 2019",Early May Bank Holiday,Monday
"May 27th, 2019",Spring Bank Holiday,Monday
"August 26th, 2019",August Bank Holiday,Monday
"December 25th, 2019",Christmas Day,Wednesday
"December 26th, 2019",Boxing Day,Thursday
"January 1st, 2020",New Year's Day,Wednesday
"April 10th, 2020",Good Friday,Friday
"April 13th, 2020",Easter Monday,Monday
"May 8th, 2020",Early May Bank Holiday (VE Day),	Friday
"May 25th, 2020",Spring Bank Holiday,Monday
"August 31st, 2020",August Bank Holiday,Monday
"December 25th, 2020",Christmas Day,Friday
"December 28th, 2020",Substitute day (for Boxing Day),Monday
